episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
88,0.130000,-21.000000,21.130000,0.836793,59.554800,1069,70,1869
89,2.347500,-20.000000,21.847500,0.835120,61.319999,1103,71,1890
90,-3.755000,-21.000000,17.245000,0.833449,49.445443,884,71,1911
91,11.310333,-17.000000,26.310333,0.831783,75.017059,1325,75,1932
92,10.508000,-18.000000,27.008000,0.830119,76.296270,1354,78,1953
93,2.267667,-20.000000,21.767667,0.828459,62.013231,1101,79,1974
94,1.125000,-21.000000,22.125000,0.826802,63.909074,1129,79,1995
95,-0.102500,-20.000000,19.397500,0.825148,55.832999,979,80,2016
96,4.637500,-20.000000,24.137500,0.823498,70.742343,1221,81,2037
97,15.148000,-18.000000,31.648000,0.821851,94.726297,1591,84,2058
98,7.095500,-19.000000,25.095500,0.820207,71.835589,1261,86,2079
99,5.932667,-20.000000,25.432667,0.818567,72.653878,1283,87,2100
100,-2.520000,-21.000000,18.480000,0.816930,53.513319,946,87,2121
101,5.640333,-19.000000,23.640333,0.815296,67.846489,1195,89,2142
102,2.507500,-20.000000,22.007500,0.813665,62.647893,1103,90,2163
103,6.052667,-20.000000,25.552667,0.812038,73.006116,1281,91,2184
104,6.887500,-20.000000,26.387500,0.810414,77.533863,1342,92,2205
105,1.085000,-21.000000,22.085000,0.808793,64.561964,1127,92,2226
106,4.677500,-20.000000,24.177500,0.807175,69.664171,1223,93,2247
107,-3.735000,-21.000000,17.265000,0.805561,52.153985,885,93,2268
108,10.540500,-19.000000,28.540500,0.803950,90.138089,1443,95,2289
109,2.380333,-21.000000,23.380333,0.802342,72.317432,1192,95,2310
110,16.010167,-17.000000,31.010167,0.800737,93.142850,1570,99,2331
111,9.145333,-19.000000,27.145333,0.799136,78.273290,1377,101,2352
112,14.602667,-16.000000,28.102667,0.797538,81.309746,1423,106,2373
113,1.025000,-21.000000,22.025000,0.795943,64.032114,1124,106,2394
114,-0.262500,-20.000000,19.237500,0.794351,56.148421,983,107,2415
115,5.872667,-20.000000,25.372667,0.792762,72.886140,1281,108,2436
116,2.467667,-20.000000,21.967667,0.791176,62.815382,1101,109,2457
117,4.817500,-20.000000,24.317500,0.789594,70.221681,1225,110,2478
118,-0.069833,-21.000000,20.930167,0.788015,61.414247,1069,110,2499
119,2.300333,-21.000000,23.300333,0.786439,68.073923,1188,110,2520
120,17.485833,-17.000000,32.485833,0.784866,93.723265,1629,114,2541
121,13.852667,-18.000000,30.352667,0.783296,88.076207,1533,117,2562
122,1.045000,-21.000000,22.045000,0.781730,69.117255,1125,117,2583
123,-2.540000,-21.000000,18.460000,0.780166,54.205806,945,117,2604
124,1.065000,-21.000000,22.065000,0.778606,64.404011,1126,117,2625
125,11.502667,-18.000000,28.002667,0.777049,81.367097,1413,120,2646
126,10.227500,-18.000000,26.727500,0.775495,77.615549,1354,123,2667
127,6.715000,-19.000000,24.715000,0.773944,72.110338,1258,125,2688
128,16.110000,-17.000000,31.110000,0.772396,90.098927,1569,129,2709
129,16.102500,-18.000000,32.602500,0.770851,94.962435,1652,132,2730
130,10.307667,-18.000000,26.807667,0.769309,77.263104,1354,135,2751
131,12.758000,-18.000000,29.258000,0.767771,84.238635,1473,138,2772
132,13.845333,-19.000000,31.845333,0.766235,93.276787,1618,140,2793
133,4.777500,-20.000000,24.277500,0.764703,70.620164,1224,141,2814
134,9.577500,-20.000000,29.077500,0.763173,86.003999,1464,142,2835
135,11.342667,-18.000000,27.842667,0.761647,81.039061,1414,145,2856
